zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,1,0,0,1.0986122886681098,4.330733340286331,7.5126175446745105
0,0,0,1,1.3862943611198906,4.948759890378168,8.839421607620602
0,1,0,0,1.0986122886681098,3.828641396489095,7.824445930877619
1,0,0,0,1.0986122886681098,4.61512051684126,7.696667081526462
0,0,0,1,0.6931471805599453,3.713572066704308,8.25608813381491
0,0,0,1,1.0986122886681098,4.454347296253507,7.919719760924575
0,0,0,1,1.3862943611198906,4.927253685157205,8.748463629942055
0,1,0,0,1.0986122886681098,4.143134726391533,7.62608275807238
1,0,0,0,0.6931471805599453,3.58351893845611,7.099201743553092
1,0,0,0,0.6931471805599453,3.5263605246161616,6.911747300251674
0,0,0,1,1.0986122886681098,4.04305126783455,7.696667081526462
0,0,1,0,0.6931471805599453,4.189654742026425,7.601402334583733
1,0,0,0,0.6931471805599453,4.241326752570746,13.527829818844937
0,0,1,0,0.6931471805599453,3.4339872044851463,13.527829818844937
0,0,0,1,0.6931471805599453,3.9889840465642745,7.7266536648476425
0,0,1,0,1.0986122886681098,4.948759890378168,7.783640596221253
0,1,0,0,1.0986122886681098,4.276666119016055,7.313886831633462
0,0,1,0,1.6094379124341003,5.707110264748875,8.699681400989514
0,0,0,1,1.0986122886681098,4.330733340286331,7.852050207265889
1,0,0,0,1.0986122886681098,4.110873864173311,7.333676395657684
1,0,0,0,1.0986122886681098,4.1588830833596715,7.170888478512505
0,0,1,0,1.6094379124341003,4.6443908991413725,8.289288323000317
0,0,0,1,0.6931471805599453,3.6635616461296463,7.762596048540069
1,0,0,0,1.0986122886681098,4.2626798770413155,7.650168700845001
0,0,1,0,1.3862943611198906,4.948759890378168,7.762596048540069
0,0,1,0,1.3862943611198906,4.962844630259907,8.101980731853192
0,0,0,1,1.3862943611198906,4.997212273764115,8.24301946898925
0,0,0,1,1.0986122886681098,4.394449154672439,7.496097345175956
0,0,1,0,1.0986122886681098,4.499809670330265,7.313886831633462
0,0,0,1,1.3862943611198906,4.663439094112067,8.160803920954665
0,0,0,1,1.3862943611198906,5.017279836814924,8.294299608857235
1,0,0,0,1.0986122886681098,4.394449154672439,7.696667081526462
0,0,1,0,1.0986122886681098,4.1588830833596715,8.412054873292933
1,0,0,0,1.0986122886681098,4.02535169073515,7.438971592395862
0,0,1,0,0.6931471805599453,3.4339872044851463,7.244941546337007
1,0,0,0,1.0986122886681098,3.970291913552122,7.67368812926773
0,0,0,1,1.0986122886681098,4.394449154672439,7.762596048540069
0,1,0,0,0.6931471805599453,3.7612001156935624,8.006700845440367
0,1,0,0,0.6931471805599453,3.58351893845611,7.8083230503910555
0,0,0,1,1.3862943611198906,4.290459441148391,7.754052639035757
1,0,0,0,1.0986122886681098,6.90875477931522,9.61587214452889
1,0,0,0,1.3862943611198906,5.717027701406222,8.476579508530941
0,0,0,1,1.3862943611198906,4.709530201312334,8.476579508530941
1,0,0,0,1.0986122886681098,4.564348191467836,7.438971592395862
0,0,0,1,1.6094379124341003,5.241747015059643,8.343077871169383
0,0,0,1,1.0986122886681098,4.110873864173311,7.244941546337007
0,0,1,0,1.3862943611198906,4.330733340286331,7.313886831633462
0,1,0,0,0.6931471805599453,3.6635616461296463,13.592368256649284
1,0,0,0,1.0986122886681098,3.871201010907891,7.170888478512505
1,0,0,0,1.3862943611198906,5.62040086571715,8.922791623969637
0,0,0,1,0.6931471805599453,3.58351893845611,7.901377353792616
0,1,0,0,0.6931471805599453,3.4965075614664802,7.099201743553092
1,0,0,0,1.0986122886681098,4.2626798770413155,6.90875477931522
1,0,0,0,1.3862943611198906,4.983606621708336,7.919719760924575
0,0,0,1,1.3862943611198906,5.303304908059076,8.101980731853192
0,0,1,0,1.0986122886681098,4.51085950651685,7.550135342488429
0,1,0,0,1.3862943611198906,4.143134726391533,7.409136443920128
1,0,0,0,0.6931471805599453,3.7612001156935624,7.3783837129967145
0,0,0,1,1.0986122886681098,4.532599493153256,8.38958706681109
0,1,0,0,1.0986122886681098,4.51085950651685,7.550135342488429
1,0,0,0,0.6931471805599453,3.4339872044851463,7.645397699428633
1,0,0,0,1.0986122886681098,3.7612001156935624,7.00397413672268
0,1,0,0,1.0986122886681098,4.219507705176107,7.447751280047908
0,0,1,0,1.3862943611198906,4.2626798770413155,7.596392304064196
1,0,0,0,1.0986122886681098,7.8636512654486515,10.915106645867503
0,1,0,0,0.6931471805599453,3.4965075614664802,7.215975002651466
0,0,1,0,1.0986122886681098,4.3694478524670215,7.550135342488429
0,0,1,0,1.0986122886681098,4.477336814478207,7.478734825567875
1,0,0,0,1.0986122886681098,7.0909098220799835,9.472781556562168
0,1,0,0,1.0986122886681098,4.61512051684126,13.698977865303197
0,0,1,0,1.0986122886681098,4.454347296253507,7.972810784121404
1,0,0,0,1.0986122886681098,4.2626798770413155,7.340186835320115
0,0,1,0,1.0986122886681098,4.02535169073515,7.155396301896734
0,1,0,0,1.3862943611198906,4.574710978503383,8.006700845440367
0,0,0,1,0.6931471805599453,3.58351893845611,7.824445930877619
0,0,0,1,1.0986122886681098,4.330733340286331,8.160803920954665
0,0,1,0,0.6931471805599453,3.4339872044851463,7.3783837129967145
0,0,1,0,1.3862943611198906,4.174387269895637,7.912423121473705
0,1,0,0,1.6094379124341003,5.5254529391317835,8.893023494394711
0,1,0,0,1.3862943611198906,4.812184355372417,7.971776122880628
0,0,1,0,1.0986122886681098,4.248495242049359,7.937731775260109
0,0,0,1,1.0986122886681098,4.0943445622221,7.307202314764738
1,0,0,0,1.0986122886681098,6.255750041753367,8.853808274977197
1,0,0,0,0.6931471805599453,3.4965075614664802,7.280008252884188
1,0,0,0,1.3862943611198906,4.844187086458591,8.537191877922927
0,1,0,0,1.0986122886681098,4.1588830833596715,7.438971592395862
1,0,0,0,1.0986122886681098,3.8918202981106265,7.3783837129967145
0,0,0,1,1.3862943611198906,6.111467339502679,8.612685172875459
0,0,1,0,1.0986122886681098,4.07753744390572,7.313886831633462
0,0,1,0,1.0986122886681098,3.58351893845611,7.409136443920128
1,0,0,0,1.0986122886681098,3.713572066704308,7.919719760924575
0,1,0,0,1.0986122886681098,3.9318256327243257,7.550135342488429
0,0,0,1,1.0986122886681098,4.2626798770413155,8.216358332386156
0,0,1,0,1.3862943611198906,5.802118375377063,9.165447603085447
0,0,0,1,0.6931471805599453,3.713572066704308,8.071218539969863
0,1,0,0,0.6931471805599453,4.663439094112067,7.313886831633462
1,0,0,0,1.0986122886681098,5.707110264748875,8.699681400989514
1,0,0,0,1.0986122886681098,4.110873864173311,7.313886831633462
0,0,0,1,1.3862943611198906,4.290459441148391,7.501634457883413
1,0,0,0,1.3862943611198906,5.860786223465865,8.612685172875459
0,0,0,1,1.0986122886681098,4.394449154672439,8.101980731853192
0,0,1,0,1.3862943611198906,4.382026634673881,8.006700845440367
